filename,status,instruction_count,unique_instructions,size,reason
svc_recv.asm,VALID,494,31,7490,
svc_send.asm,VALID,401,32,5976,
swap-utils_2.29.2-1_mipsel_mips32_mkswap.asm,VALID,7885,53,120729,
swaplabel.asm,VALID,765,33,11543,
swconfig.asm,VALID,2298,39,35219,
switch_root.asm,VALID,62756,70,944931,
sync.asm,VALID,62756,70,944931,
sysctl.asm,VALID,62756,70,944931,
systool.asm,VALID,2090,40,31789,
tail.asm,VALID,62756,70,944931,
tar.asm,VALID,62756,70,944931,
tc.asm,VALID,23216,56,353193,
tcpdump-mini_4.9.2-1_mipsel_mips32_tcpdump.asm,VALID,36110,61,541479,
tcpdump.asm,VALID,84683,61,1271267,
tee.asm,VALID,62756,70,944931,
test.asm,VALID,62756,70,944931,
tftpd.asm,VALID,1193,43,17923,
thcping6.asm,VALID,7660,52,117481,
time.asm,VALID,62756,70,944931,
toobig6.asm,VALID,6287,51,96594,
top.asm,VALID,62756,70,944931,
touch.asm,VALID,62756,70,944931,
tr.asm,VALID,62756,70,944931,
trace-cmd.asm,VALID,51064,61,769066,
trace6.asm,VALID,7261,51,111819,
tracepath.asm,VALID,1040,48,15865,
tracepath6.asm,VALID,1251,51,19466,
traceroute.asm,VALID,62756,70,944931,
traceroute6.asm,VALID,62756,70,944931,
true.asm,VALID,62756,70,944931,
ttcp_atm.asm,VALID,1935,44,29627,
tune2fs.asm,VALID,16115,61,246627,
tune2fs_1.43.3-2_mipsel_mips32_findfs.asm,VALID,16115,61,246627,
ubus.asm,VALID,616,38,9184,
ubusd.asm,VALID,2594,43,38823,
uci.asm,VALID,1507,31,22411,
uclient-fetch.asm,VALID,1360,47,20313,
udhcpc.asm,VALID,62756,70,944931,
ugps.asm,VALID,633,30,9284,
uhttpd.asm,VALID,5291,51,80007,
ulockmgr_server.asm,VALID,892,35,13197,
umdns.asm,VALID,3686,48,55832,
umount.asm,VALID,62756,70,944931,
uname.asm,VALID,62756,70,944931,
uniq.asm,VALID,62756,70,944931,
uptime.asm,VALID,62756,70,944931,
usbmode.asm,VALID,1251,42,18657,
usbreset.asm,VALID,623,30,9126,
usign.asm,VALID,3557,48,54984,
uuidd.asm,VALID,2564,53,38908,
uuidgen.asm,VALID,389,29,5849,
valgrind-di-server.asm,VALID,3025,47,46070,
valgrind-listener.asm,VALID,792,39,11955,
valgrind.asm,VALID,2226,50,33940,
validate_data.asm,VALID,672,31,9996,
vgdb.asm,VALID,5687,45,87127,
vi.asm,VALID,62756,70,944931,
wall.asm,VALID,2064,49,31098,
wc.asm,VALID,62756,70,944931,
wg.asm,VALID,8267,56,123299,
wget.asm,VALID,1360,47,20313,
whereis.asm,VALID,2025,36,31487,
which.asm,VALID,62756,70,944931,
wipefs.asm,VALID,2526,48,37705,
wpa-supplicant-mesh_2016-12-19-ad02e79d-7_mipsel_mips32_wpa_supplicant.asm,VALID,132326,64,1987851,
wpa-supplicant-mini_2016-12-19-ad02e79d-7_mipsel_mips32_wpa_supplicant.asm,VALID,55809,62,837047,
wpa-supplicant_2016-12-19-ad02e79d-7_mipsel_mips32_wpa_supplicant.asm,VALID,113373,67,1709012,
wpa_cli.asm,VALID,4744,50,70291,
wpa_supplicant.asm,VALID,170153,67,2561540,
wpad-mesh_2016-12-19-ad02e79d-7_mipsel_mips32_hostapd.asm,VALID,158607,64,2381380,
wpad-mesh_2016-12-19-ad02e79d-7_mipsel_mips32_wpa_supplicant.asm,VALID,158607,64,2381380,
wpad-mesh_2016-12-19-ad02e79d-7_mipsel_mips32_wpad.asm,VALID,158607,64,2381380,
wpad-mini_2016-12-19-ad02e79d-7_mipsel_mips32_hostapd.asm,VALID,98649,63,1481468,
wpad-mini_2016-12-19-ad02e79d-7_mipsel_mips32_wpa_supplicant.asm,VALID,98649,63,1481468,
wpad-mini_2016-12-19-ad02e79d-7_mipsel_mips32_wpad.asm,VALID,98649,63,1481468,
wpad.asm,VALID,167323,67,2518063,
wpad_2016-12-19-ad02e79d-7_mipsel_mips32_wpa_supplicant.asm,VALID,167323,67,2518063,
xargs.asm,VALID,62756,70,944931,
xfs_db.asm,VALID,73549,67,1121778,
xfs_growfs.asm,VALID,50401,65,768838,
xfs_repair.asm,VALID,99239,67,1512571,
xtables-multi.asm,VALID,8654,47,132873,
yes.asm,VALID,62756,70,944931,
zcat.asm,VALID,62756,70,944931,
zeppelin.asm,VALID,7264,58,113541,
